Title,Active Learning,Critical Thinking,Deductive Reasoning,Oral Expression,AI Enhancement Score,Cluster,PCA1,PCA2
Accountants and Auditors,3.31,3.935,4.125,4.0649999999999995,3.805,0,1.2316610260136662,-0.31452478514880355
Actors,2.62,3.0,2.94,4.0600000000000005,3.033,3,-1.2591740120563053,1.221721455537541
Actuaries,3.625,4.5,4.4399999999999995,4.375,4.2067499999999995,2,2.5619435997929587,-0.44178652996417234
Acupuncturists,3.06,3.75,3.88,3.94,3.5975,0,0.5334890431074568,-0.17597824322426814
Acute Care Nurses,4.125,4.0600000000000005,4.12,4.25,4.12,2,2.1432345055663817,-0.16733365308067596
Adapted Physical Education Specialists,3.94,3.88,3.88,4.12,3.9339999999999997,2,1.5008737484669534,-0.048240294270407755
Adhesive Bonding Machine Operators and Tenders,2.5,2.815,2.935,3.06,2.78125,1,-2.3950719648870504,-0.14724156256258095
"Administrative Law Judges, Adjudicators, and Hearing Officers",3.935,4.6850000000000005,4.4350000000000005,4.5,4.38225,2,3.0828084611958837,-0.37399765953008723
Administrative Services Managers,3.25,3.815,3.75,4.0,3.66025,0,0.6788204560177544,-0.02657423268047109
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.375,3.5,3.56,4.25,3.5869999999999997,0,0.5245412978195104,0.6578149028839577
Advanced Practice Psychiatric Nurses,3.94,4.0,4.12,4.5,4.0809999999999995,2,2.1573498602459193,0.2486241003870284
Advertising Sales Agents,3.25,3.5,3.37,4.0600000000000005,3.4829999999999997,0,0.09222707335257782,0.5472954918164074
Advertising and Promotions Managers,3.685,4.0600000000000005,4.1899999999999995,4.5,4.0395,2,2.077050396318109,0.17874285602345372
Aerospace Engineering and Operations Technologists and Technicians,3.0,3.94,3.94,4.0,3.6670000000000003,0,0.7714759014167212,-0.23208729791739433
Aerospace Engineers,3.75,4.37,4.375,4.3149999999999995,4.176749999999999,2,2.4270379168771443,-0.4179490470620754
"Agents and Business Managers of Artists, Performers, and Athletes",3.5,3.75,3.815,4.1850000000000005,3.7532499999999995,0,1.0312158650492853,0.2059476397587406
Agricultural Engineers,3.565,3.94,4.25,4.3100000000000005,3.9450000000000003,2,1.7596625537793988,-0.080806921195881
Agricultural Equipment Operators,2.065,2.815,2.94,3.12,2.6607499999999997,1,-2.6795801679050517,-0.027721548790102246
Agricultural Inspectors,3.315,3.81,3.88,3.815,3.67625,0,0.6820509998975103,-0.4126608898389299
"Agricultural Sciences Teachers, Postsecondary",4.25,4.0600000000000005,4.125,5.0600000000000005,4.28,2,2.9444596700682966,1.0165762959858677
Agricultural Technicians,3.12,3.375,3.38,3.875,3.3745,3,-0.2782630494160453,0.34078410623996713
Air Traffic Controllers,3.75,4.12,4.38,4.6850000000000005,4.1457500000000005,2,2.5146990651284438,0.2554254499553048
Aircraft Cargo Handling Supervisors,2.94,3.625,3.37,3.94,3.41575,3,-0.13612188938869585,0.3295818881334638
Aircraft Mechanics and Service Technicians,3.185,4.0600000000000005,3.94,3.875,3.74575,0,0.9218524694133157,-0.4944062071468522
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2.94,3.12,3.185,3.06,3.07,3,-1.5381204794687902,-0.5527324103645312
Airfield Operations Specialists,3.25,3.815,4.0600000000000005,4.0,3.7222500000000003,0,0.9569627917065154,-0.28841440481458847
"Airline Pilots, Copilots, and Flight Engineers",3.935,4.12,4.25,4.1899999999999995,4.101,2,2.1159225938180075,-0.38187644597216325
Allergists and Immunologists,4.3100000000000005,4.12,4.5,4.3149999999999995,4.28225,2,2.741831076979197,-0.43829502023366723
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.06,3.25,3.435,3.875,3.3237499999999995,3,-0.39393593055632303,0.36429339095856095
Amusement and Recreation Attendants,2.19,2.75,2.625,3.685,2.69725,1,-2.438211234857494,1.0979324952573029
Anesthesiologist Assistants,3.56,3.685,3.88,3.815,3.706,0,0.755953121464727,-0.36722834268357374
Anesthesiologists,3.87,4.4399999999999995,4.625,4.5600000000000005,4.324,2,3.0228110219719455,-0.31282552674111874
Animal Breeders,2.875,3.25,3.12,2.94,3.065,3,-1.6281472065949922,-0.7378558289572069
Animal Caretakers,2.25,2.815,3.0,3.185,2.738,1,-2.4247476261480347,0.0028703288835316477
Animal Control Workers,2.88,3.5,3.37,4.0,3.363,3,-0.24937817446336935,0.48830130795021565
Animal Scientists,3.94,4.125,4.1899999999999995,4.375,4.12,2,2.2303331331546388,-0.06054534188511521
Animal Trainers,3.185,3.38,3.31,3.81,3.3719999999999994,3,-0.34150875399596037,0.295924731180559
Anthropologists and Archeologists,4.0649999999999995,4.4350000000000005,4.37,4.75,4.35825,2,3.1059703790290736,0.1705364265781851
"Anthropology and Archeology Teachers, Postsecondary",4.5,4.25,3.935,5.13,4.393999999999999,2,3.2096052023836865,1.1614866871750893
Appraisers and Assessors of Real Estate,3.0,3.5,3.56,3.62,3.3800000000000003,3,-0.31274280106717806,-0.24394600944611183
Appraisers of Personal and Business Property,3.06,3.56,3.75,3.88,3.4959999999999996,0,0.18569463720340298,-0.055917971590029356
"Arbitrators, Mediators, and Conciliators",3.94,4.375,4.0600000000000005,4.5600000000000005,4.20925,2,2.5093387930926396,0.192641117024926
"Architects, Except Landscape and Naval",3.87,4.25,4.5,4.4399999999999995,4.214499999999999,2,2.6277383529557126,-0.285743104376956
Architectural and Civil Drafters,3.44,3.5,3.56,3.565,3.5037499999999997,0,-0.015517961048984324,-0.3606952014759432
Architectural and Engineering Managers,3.88,4.0649999999999995,4.0649999999999995,4.4350000000000005,4.0649999999999995,2,2.06629282106773,0.16988262568104748
"Architecture Teachers, Postsecondary",4.1899999999999995,4.13,4.0600000000000005,4.75,4.227,2,2.637779655775188,0.5812610260119234
Archivists,3.38,3.63,3.685,4.0,3.6215,0,0.5476673902183287,0.11427676707672674
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4.0,4.0,3.685,4.5600000000000005,4.021,2,1.8658190004871453,0.6999735909968248
Art Directors,3.565,3.875,3.81,4.0,3.78775,0,1.0360601891116912,-0.13385617930549118
Art Therapists,3.815,3.94,3.94,4.125,3.9302499999999996,2,1.5177516166953327,-0.11273523277165193
"Art, Drama, and Music Teachers, Postsecondary",4.125,3.75,3.69,4.625,3.98175,2,1.7882634924394962,0.9121245645585253
Astronomers,4.4399999999999995,4.12,4.4350000000000005,4.5600000000000005,4.345,2,2.9967182946515,-0.031434717211378825
Athletes and Sports Competitors,3.0,3.435,3.19,3.88,3.3222499999999995,3,-0.4817767486097386,0.4870484288139902
Athletic Trainers,3.875,4.0,3.935,4.0,3.9495,2,1.509073462159576,-0.3295100962626685
Atmospheric and Space Scientists,4.0600000000000005,4.0600000000000005,4.125,4.625,4.15775,2,2.420330377085881,0.38838768247887484
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4.0649999999999995,4.125,4.125,5.0,4.23825,2,2.8091449718561043,0.9088297268883401
Audio and Video Technicians,3.0,3.625,3.38,3.88,3.4267499999999997,3,-0.13191277206663182,0.22755479349878507
Audiologists,4.1899999999999995,4.125,4.3100000000000005,4.375,4.218999999999999,2,2.533839524606357,-0.1820112311299993
Audiovisual Equipment Installers and Repairers,2.94,3.31,3.125,3.185,3.1432499999999997,3,-1.3047222760401465,-0.41615915677418175
Automotive Body and Related Repairers,2.565,3.0,2.94,3.12,2.8754999999999997,1,-2.1132345251055247,-0.16434375317964955
Automotive Engineering Technicians,3.06,3.44,3.815,3.625,3.42875,0,-0.08928274347305117,-0.4254938500336365
Automotive Engineers,3.94,4.4350000000000005,4.4399999999999995,4.1899999999999995,4.25075,2,2.587722839333837,-0.7069110317002075
Automotive Glass Installers and Repairers,2.5,2.815,2.94,2.94,2.7642499999999997,1,-2.4941146578160653,-0.32897403251992163
Automotive Service Technicians and Mechanics,2.685,3.5,3.815,3.31,3.29,3,-0.5981542252636264,-0.8925596192824499
Automotive and Watercraft Service Attendants,2.25,2.94,2.81,3.63,2.8105,1,-2.0932829386215586,0.7564776694464491
Aviation Inspectors,3.185,4.0,4.0,3.94,3.7465,0,0.9751152416130532,-0.41766749553578936
Avionics Technicians,3.06,3.75,3.75,3.69,3.5340000000000003,0,0.20116358454954664,-0.43598521960152703
Baggage Porters and Bellhops,2.185,2.875,2.565,3.685,2.7275,1,-2.3779425019622575,1.083874623968463
Bailiffs,2.435,3.06,3.06,3.5,2.9385,3,-1.7229117378768293,0.27560111268596926
Bakers,3.0,3.0,2.94,3.12,3.006,3,-1.77247572556603,-0.1993323748476703
Barbers,2.5,2.815,2.88,3.315,2.8084999999999996,1,-2.2244209719167287,0.27642108976919183
Baristas,2.62,2.815,2.75,3.56,2.85525,1,-2.0356874570265697,0.7389877004982868
Bartenders,3.0,3.0,3.0,3.815,3.1222499999999997,3,-1.1190370797317892,0.7780632384527956
Bicycle Repairers,2.69,3.37,2.94,3.44,3.0905,3,-1.3899006473731337,0.10614922644119996
Bill and Account Collectors,2.815,3.31,2.88,3.815,3.1512499999999997,3,-1.078937126761551,0.7327567626284629
Billing and Posting Clerks,2.685,3.185,3.25,3.625,3.114,3,-1.130736949279575,0.21477670069921734
Biochemists and Biophysicists,4.6850000000000005,4.6850000000000005,4.5,4.8100000000000005,4.66675,2,3.9960933540299024,-0.030659300661502277
Bioengineers and Biomedical Engineers,4.1850000000000005,4.25,4.375,4.375,4.27425,2,2.7062624251180294,-0.30164981698904736
Biofuels Processing Technicians,2.815,3.12,3.25,3.56,3.1205,3,-1.1463492591045794,0.14204165874825317
